product ,Price,Grocery store,Location,District
Apples,69.9,Carrefour,"Carrefour Market, Av. Corrientes 1160, 1043 CABA, Argentina",Palermo
Apples,74.99,Supermercados Día,"Supermercados Día, Av. Corrientes 3534, C1194 AAO, Buenos Aires, Argentina",Almagro
Apples,80,Jumbo,"Jumbo, Av. Santa Fe 4950, C1425 BHY, Buenos Aires, Argentina",Palermo
Apples,69,Jumbo,"Jumbo, Guardia Vieja 4558, C1192 CABA, Argentina",Palermo
Apples,,Supermercados Día,"Supermercados Día, Buenos Aires, Paraguay 788, C1057 AAJ, Argentina",Retiro
Apples,,Supermercados Día,"Supermercados Día, Buenos Aires, Defensa 748, C1065 AAN, Argentina",Villa Crespo
Apples,32,Carrefour,"235, New Taipei City, Zhonghe District, Section 2, Zhongshan Road, 295號B1",Zhonghe District
Apples,70,Carrefour,"Carrefour, No. 1, Guilin Road, Wanhua District, Taipei City, Taiwan 108",Wanhua District
Apples,78,Carrefour,"Carrefour, 100, Taiwan, Taipei City, Zhongzheng District, Section 2, Jinan Road, 46號B1",Zhonghe District
Apples,46,Carrefour,"Carrefour, No. 276號, Jinzhou Street, Zhongshan District, Taipei City, Taiwan 10477",Zhonghe District
Apples,110,Carrefour,"Carrefour, No. 499-1, Zhonghe Road, Yonghe District, New Taipei City, Taiwan 234",Yonghe Distric
Apples,79.99,Supermercados Día,"Sarmiento 3978, C1425 FGQ, Argentina",Almagro
Apples,69.9,Carrefour,"Arenales 870, C1061 CABA",Retiro
Apples,86,Carrefour,"Carrefour Market, Av. Santa Fe 1954, C1123 CABA, Argentina",Recoleta 
Apples,79.99,Supermercados Día,"Carrefour Market, Vicente López 1676, C1018 ABB, Buenos Aires, Argentina",Retiro
Apples,98.7,Jumbo,"Supermercados Día, Fitz Roy 2292, C1425 FVD, Buenos Aires, Argentina",Palermo
Apples,69.99,Supermercados Día,"Av. Acoyte 702, C1405 BGS, Buenos Aires",Caballito 
Apples,54,Supermercados Día,"Supermercados Día, Av. Rivadavia 3566, C1204 AAN, Buenos Aires, Argentina",Almagro
Apples,72.4,Carrefour,"Av. Gaona 1290, Buenos Aires",Caballito 
Apples,73.99,Supermercados Día,"Carrefour Market, Av. Córdoba 1631, C1055 CABA, Argentina",Retiro
Apples,159,Supermercados Día,"Supermercados Día, Av. Rivadavia 674, C1002 AAR, Buenos Aires, Argentina",Monserrat
Apples,60,Carrefour,"Supermercados Día, Buenos Aires, Raúl Scalabrini Ortíz 3170, C1425 DBZ, Argentina",Palermo
Apples,69,Carrefour,"Carrefour Market, Raúl Scalabrini Ortíz 3128, C1425 CABA, Argentina",Palermo
Apples,54,Jumbo,"Av. Córdoba 2529, C1120 CABA",Recoleta 
Apples,80,Supermercados Día,"Av. Gral. Las Heras 2564, C1425ASP CABA",Recoleta 
Apples,75,Supermercados Día,"Supermercados Día, Av. Rivadavia 1177, C1033 AAB, Buenos Aires, Argentina",Monserrat
Apples,50,Carrefour,"Supermercados Día, C1426AJS AJS, Amenábar 1145, C1426 Buenos Aires, Argentina",Colegiales
Apples,79.99,Supermercados Día,"Carrefour Market, Av. Rivadavia 3221, C1179 CABA, Argentina",Almagro
Apples,159,Jumbo,"Supermercados Día, Junín 638, C1026 ABN, Buenos Aires, Argentina",Monserrat
Apples,84,Carrefour,"Jumba, Av. Cerviño 4860, C1425 AIO, Buenos Aires, Argentina",Palermo
Apples,120,Carrefour,"Carrefour Market, Av. Rivadavia 2243, C1034 CABA, Argentina",Monserrat
Apples,69.9,Carrefour,"Av. Santa Fe 3368, C1425 CABA",Palermo
Apples,86,Carrefour,"Carrefour Market, Raúl Scalabrini Ortíz 1840, C1414 CABA, Argentina",Palermo
Apples,,Carrefour,"Carrefour Market, Av. Corrientes 1160, 1043 CABA, Argentina",Palermo
Apples,,Supermercados Día,"Supermercados Día, Av. Corrientes 3534, C1194 AAO, Buenos Aires, Argentina",Almagro
Apples,,Jumbo,"Supermercados Día, Av. Corrientes 3534, C1194 AAO, Buenos Aires, Argentina",Palermo
Apples,89,Jumbo,"Jumbo, Av. Santa Fe 4950, C1425 BHY, Buenos Aires, Argentina",Palermo
Apples,,Supermercados Día,"Jumbo, Guardia Vieja 4558, C1192 CABA, Argentina",Retiro
Apples,,Supermercados Día,"Supermercados Día, Buenos Aires, Paraguay 788, C1057 AAJ, Argentina",Villa Crespo
Apples,40,Carrefour,"Supermercados Día, Buenos Aires, Defensa 748, C1065 AAN, Argentina",Zhonghe District
Apples,118,Carrefour,"235, New Taipei City, Zhonghe District, Section 2, Zhongshan Road, 295號B1",Wanhua District
Apples,50,Carrefour,"Carrefour, No. 1, Guilin Road, Wanhua District, Taipei City, Taiwan 108",Zhonghe District
Apples,74,Carrefour,"Carrefour, 100, Taiwan, Taipei City, Zhongzheng District, Section 2, Jinan Road, 46號B1",Zhonghe District
Apples,58,Carrefour,"Carrefour, No. 276號, Jinzhou Street, Zhongshan District, Taipei City, Taiwan 10477",Yonghe Distric
Apples,,Supermercados Día,"Carrefour, No. 499-1, Zhonghe Road, Yonghe District, New Taipei City, Taiwan 234",Almagro
Apples,,,"Sarmiento 3978, C1425 FGQ, Argentina",Retiro
Apples,,Jumbo,,Recoleta 
Apples,86,Carrefour,"Arenales 870, C1061 CABA",Retiro
Apples,69,Carrefour,"Carrefour Market, Av. Santa Fe 1954, C1123 CABA, Argentina",Palermo
Apples,,Supermercados Día,"Carrefour Market, Vicente López 1676, C1018 ABB, Buenos Aires, Argentina",Caballito 
Apples,54,Jumbo,"Supermercados Día, Fitz Roy 2292, C1425 FVD, Buenos Aires, Argentina",Almagro
Apples,,Supermercados Día,"Av. Acoyte 702, C1405 BGS, Buenos Aires",Caballito 
Apples,70,Supermercados Día,"Supermercados Día, Av. Rivadavia 3566, C1204 AAN, Buenos Aires, Argentina",Retiro
Apples,76,Carrefour,"Av. Gaona 1290, Buenos Aires",Monserrat
Apples,,Supermercados Día,"Carrefour Market, Av. Córdoba 1631, C1055 CABA, Argentina",Palermo
Apples,54,Supermercados Día,"Supermercados Día, Av. Rivadavia 674, C1002 AAR, Buenos Aires, Argentina",Palermo
Apples,,Carrefour,"Supermercados Día, Buenos Aires, Raúl Scalabrini Ortíz 3170, C1425 DBZ, Argentina",Recoleta 
Apples,50,Carrefour,"Carrefour Market, Raúl Scalabrini Ortíz 3128, C1425 CABA, Argentina",Recoleta 
Apples,98,Jumbo,"Av. Córdoba 2529, C1120 CABA",Monserrat
Apples,,Supermercados Día,"Av. Gral. Las Heras 2564, C1425ASP CABA",Colegiales
Apples,74,Supermercados Día,"Supermercados Día, Av. Rivadavia 1177, C1033 AAB, Buenos Aires, Argentina",Almagro
Apples,89.9,Carrefour,"Supermercados Día, C1426AJS AJS, Amenábar 1145, C1426 Buenos Aires, Argentina",Monserrat
Apples,99.99,Supermercados Día,"Carrefour Market, Av. Rivadavia 3221, C1179 CABA, Argentina",Palermo
Apples,54,Jumbo,"Supermercados Día, Junín 638, C1026 ABN, Buenos Aires, Argentina",Monserrat
Apples,69,Carrefour,"Jumba, Av. Cerviño 4860, C1425 AIO, Buenos Aires, Argentina",Palermo
Apples,86,Carrefour,"Carrefour Market, Av. Rivadavia 2243, C1034 CABA, Argentina",Palermo
Apples,50,Carrefour,"Av. Santa Fe 3368, C1425 CABA",Palermo
Apples,,Carrefour,"Carrefour Market, Raúl Scalabrini Ortíz 1840, C1414 CABA, Argentina",Almagro
Apples,,Supermercados Día,"Carrefour Market, Av. Corrientes 1160, 1043 CABA, Argentina",Palermo
Apples,159,Jumbo,"Supermercados Día, Av. Corrientes 3534, C1194 AAO, Buenos Aires, Argentina",
Apples,,Jumbo,"Jumbo, Av. Santa Fe 4950, C1425 BHY, Buenos Aires, Argentina",Retiro
Apples,,Supermercados Día,"Jumbo, Guardia Vieja 4558, C1192 CABA, Argentina",Villa Crespo
Apples,78,Supermercados Día,"Supermercados Día, Buenos Aires, Paraguay 788, C1057 AAJ, Argentina",Zhonghe District
Apples,26,Carrefour,"Supermercados Día, Buenos Aires, Defensa 748, C1065 AAN, Argentina",Wanhua District
Apples,30,Carrefour,"235, New Taipei City, Zhonghe District, Section 2, Zhongshan Road, 295號B1",Zhonghe District
Apples,78,Carrefour,"Carrefour, No. 1, Guilin Road, Wanhua District, Taipei City, Taiwan 108",Zhonghe District
Apples,78,Carrefour,"Carrefour, 100, Taiwan, Taipei City, Zhongzheng District, Section 2, Jinan Road, 46號B1",Yonghe Distric
Apples,,Carrefour,"Carrefour, No. 276號, Jinzhou Street, Zhongshan District, Taipei City, Taiwan 10477",Almagro
Apples,,Supermercados Día,"Carrefour, No. 499-1, Zhonghe Road, Yonghe District, New Taipei City, Taiwan 234",Retiro
Apples,,,"Sarmiento 3978, C1425 FGQ, Argentina",Recoleta 
Apples,120,Jumbo,,Retiro
Apples,50,Carrefour,"Arenales 870, C1061 CABA",Palermo
Apples,,Carrefour,"Carrefour Market, Av. Santa Fe 1954, C1123 CABA, Argentina",Caballito 
Apples,72,Supermercados Día,"Carrefour Market, Vicente López 1676, C1018 ABB, Buenos Aires, Argentina",Almagro
Apples,,Jumbo,"Supermercados Día, Fitz Roy 2292, C1425 FVD, Buenos Aires, Argentina",Caballito 
Apples,51,Supermercados Día,"Av. Acoyte 702, C1405 BGS, Buenos Aires",Retiro
Apples,,Supermercados Día,"Supermercados Día, Av. Rivadavia 3566, C1204 AAN, Buenos Aires, Argentina",Monserrat
Apples,,Carrefour,"Av. Gaona 1290, Buenos Aires",Palermo
Apples,,Supermercados Día,"Carrefour Market, Av. Córdoba 1631, C1055 CABA, Argentina",Palermo
Apples,,Supermercados Día,"Supermercados Día, Av. Rivadavia 674, C1002 AAR, Buenos Aires, Argentina",Recoleta 
Apples,,Carrefour,"Supermercados Día, Buenos Aires, Raúl Scalabrini Ortíz 3170, C1425 DBZ, Argentina",Recoleta 
Apples,,Carrefour,"Carrefour Market, Raúl Scalabrini Ortíz 3128, C1425 CABA, Argentina",Monserrat
Apples,,Jumbo,"Av. Córdoba 2529, C1120 CABA",Colegiales
Apples,,Supermercados Día,"Av. Gral. Las Heras 2564, C1425ASP CABA",Almagro
Apples,86,Supermercados Día,"Supermercados Día, Av. Rivadavia 1177, C1033 AAB, Buenos Aires, Argentina",Monserrat
Apples,,Carrefour,"Supermercados Día, C1426AJS AJS, Amenábar 1145, C1426 Buenos Aires, Argentina",Palermo
Apples,,Supermercados Día,"Carrefour Market, Av. Rivadavia 3221, C1179 CABA, Argentina",Monserrat
Apples,,Jumbo,"Supermercados Día, Junín 638, C1026 ABN, Buenos Aires, Argentina",Palermo
Apples,69.9,Carrefour,"Jumba, Av. Cerviño 4860, C1425 AIO, Buenos Aires, Argentina",Palermo
Apples,,Carrefour,"Carrefour Market, Av. Rivadavia 2243, C1034 CABA, Argentina",Palermo
Apples,,Carrefour,"Av. Santa Fe 3368, C1425 CABA",Almagro
Bananas,94.9,Carrefour,"Carrefour Market, Raúl Scalabrini Ortíz 1840, C1414 CABA, Argentina",Palermo
Bananas,,Supermercados Día,"Carrefour Market, Av. Corrientes 1160, 1043 CABA, Argentina",
Bananas,84,Jumbo,"Supermercados Día, Av. Corrientes 3534, C1194 AAO, Buenos Aires, Argentina",Retiro
Bananas,84,Jumbo,"Jumbo, Av. Santa Fe 4950, C1425 BHY, Buenos Aires, Argentina",Villa Crespo
Bananas,,Supermercados Día,"Jumbo, Guardia Vieja 4558, C1192 CABA, Argentina",Zhonghe District
Bananas,,Supermercados Día,"Supermercados Día, Buenos Aires, Paraguay 788, C1057 AAJ, Argentina",Wanhua District
Bananas,60,Carrefour,"Supermercados Día, Buenos Aires, Defensa 748, C1065 AAN, Argentina",Zhonghe District
Bananas,78,Carrefour,"235, New Taipei City, Zhonghe District, Section 2, Zhongshan Road, 295號B1",Zhonghe District
Bananas,10,Carrefour,"Carrefour, No. 1, Guilin Road, Wanhua District, Taipei City, Taiwan 108",Yonghe Distric
Bananas,10,Carrefour,"Carrefour, 100, Taiwan, Taipei City, Zhongzheng District, Section 2, Jinan Road, 46號B1",Almagro
Bananas,88,Carrefour,"Carrefour, No. 276號, Jinzhou Street, Zhongshan District, Taipei City, Taiwan 10477",Retiro
Bananas,94.99,Supermercados Día,"Carrefour, No. 499-1, Zhonghe Road, Yonghe District, New Taipei City, Taiwan 234",Recoleta 
Bananas,,,"Sarmiento 3978, C1425 FGQ, Argentina",Retiro
Bananas,99,Jumbo,,Palermo
Bananas,94.9,Carrefour,"Arenales 870, C1061 CABA",Caballito 
Bananas,94,Carrefour,"Carrefour Market, Av. Santa Fe 1954, C1123 CABA, Argentina",Almagro
Bananas,95,Supermercados Día,"Carrefour Market, Vicente López 1676, C1018 ABB, Buenos Aires, Argentina",Caballito 
Bananas,84,Jumbo,"Supermercados Día, Fitz Roy 2292, C1425 FVD, Buenos Aires, Argentina",Retiro
Bananas,94.99,Supermercados Día,"Av. Acoyte 702, C1405 BGS, Buenos Aires",Monserrat
Bananas,84,Supermercados Día,"Supermercados Día, Av. Rivadavia 3566, C1204 AAN, Buenos Aires, Argentina",Palermo
Bananas,102.1,Carrefour,"Av. Gaona 1290, Buenos Aires",Palermo
Bananas,101.49,Supermercados Día,"Carrefour Market, Av. Córdoba 1631, C1055 CABA, Argentina",Recoleta 
Bananas,99,Supermercados Día,"Supermercados Día, Av. Rivadavia 674, C1002 AAR, Buenos Aires, Argentina",Recoleta 
Bananas,99,Carrefour,"Supermercados Día, Buenos Aires, Raúl Scalabrini Ortíz 3170, C1425 DBZ, Argentina",Monserrat
Bananas,94.9,Carrefour,"Carrefour Market, Raúl Scalabrini Ortíz 3128, C1425 CABA, Argentina",Colegiales
Bananas,84,Jumbo,"Av. Córdoba 2529, C1120 CABA",Almagro
Bananas,95,Supermercados Día,"Av. Gral. Las Heras 2564, C1425ASP CABA",Monserrat
Bananas,93,Supermercados Día,"Supermercados Día, Av. Rivadavia 1177, C1033 AAB, Buenos Aires, Argentina",Palermo
Bananas,94.9,Carrefour,"Supermercados Día, C1426AJS AJS, Amenábar 1145, C1426 Buenos Aires, Argentina",Monserrat
Bananas,75.99,Supermercados Día,"Carrefour Market, Av. Rivadavia 3221, C1179 CABA, Argentina",Palermo
